연번,시도명,시군구명,소재지지번주소,횡단보도관리번호,횡단보도종류,고원식횡단보도유무,경도,위도,보행등유무,음향신호기설치여부,보행자작동신호기유무,데이터기준일자
50,서울특별시,강남구,강남구 개포동 185 대,06-0000029785,일단(화살표있음),N,37.48790379,127.0725128,N,N,N,2026-03-20
51,서울특별시,강남구,강남구 개포동 188 학,06-0000053287,일단(화살표없음),Y,37.4868318,127.0701565,Y,Y,N,2026-03-20
52,서울특별시,강남구,강남구 개포동 189 대,06-0000008167,일단(화살표없음),Y,37.48642303,127.068877,Y,Y,N,2026-03-20
53,서울특별시,강남구,강남구 개포동 189 대,06-0000015511,일단(화살표없음),Y,37.48751688,127.0733004,Y,Y,N,2026-03-20
54,서울특별시,강남구,강남구 개포동 189 대,06-0000008168,일단(화살표없음),Y,37.48649371,127.0691118,Y,Y,N,2026-03-20
55,서울특별시,강남구,강남구 개포동 189 대,06-0000053282,일단(화살표없음),Y,37.4843005,127.0687572,Y,Y,N,2026-03-20
56,서울특별시,강남구,강남구 개포동 192 도,06-0000008481,이단(화살표없음),N,37.48595099,127.075981,N,N,N,2026-03-20
57,서울특별시,강남구,강남구 개포동 192-1 도,06-0000008478,일단(화살표없음),N,37.48553388,127.0753071,N,N,N,2026-03-20
58,서울특별시,강남구,강남구 개포동 192-1 도,06-0000008479,이단(화살표있음),N,37.48585769,127.0756422,Y,Y,N,2026-03-20
59,서울특별시,강남구,강남구 개포동 195 도,06-0000034610,일단(화살표없음),N,37.48983807,127.0698411,N,N,N,2026-03-20
60,서울특별시,강남구,강남구 개포동 195 도,06-0000019620,이단(화살표있음),N,37.49119216,127.0724846,Y,Y,N,2026-03-20
61,서울특별시,강남구,강남구 개포동 195 도,06-0000045732,이단(화살표있음),N,37.48932142,127.0678332,Y,Y,N,2026-03-20
62,서울특별시,강남구,강남구 개포동 195 도,06-0000008573,이단(화살표있음),N,37.49006754,127.0708903,N,N,N,2026-03-20
63,서울특별시,강남구,강남구 개포동 195 도,06-0000019647,이단(화살표있음),N,37.48912178,127.0664077,Y,Y,N,2026-03-20
64,서울특별시,강남구,강남구 개포동 195 도,06-0000009173,이단(화살표있음),N,37.48947191,127.0688955,Y,Y,N,2026-03-20
65,서울특별시,강남구,강남구 개포동 195 도,06-0000009175,이단(화살표있음),N,37.48954447,127.0691997,Y,Y,N,2026-03-20
66,서울특별시,강남구,강남구 개포동 196 도,06-0000010009,이단(화살표있음),N,37.48857374,127.0739727,Y,Y,N,2026-03-20
67,서울특별시,강남구,강남구 개포동 196 도,06-0000053292,이단(화살표있음),N,37.48837394,127.0740347,N,N,N,2026-03-20
68,서울특별시,강남구,강남구 개포동 197 도,06-0000008172,이단(화살표있음),N,37.48725707,127.0707081,Y,Y,N,2026-03-20
69,서울특별시,강남구,강남구 개포동 197 도,06-0000009174,이단(화살표있음),N,37.48936093,127.0691191,Y,Y,N,2026-03-20
70,서울특별시,강남구,강남구 개포동 197 도,06-0000015517,일단(화살표없음),N,37.4883152,127.0696204,N,N,N,2026-03-20
71,서울특별시,강남구,강남구 개포동 197 도,06-0000022190,이단(화살표있음),N,37.48754042,127.0702552,N,N,N,2026-03-20
39695,서울특별시,중랑구,중랑구 상봉동 160-7도,06-0000023497,이단(화살표없음),-,,,Y,Y,N,2026-03-20
72,서울특별시,강남구,강남구 개포동 197 도,06-0000039600,일단(화살표없음),N,37.48887726,127.0692611,N,N,N,2026-03-20
73,서울특별시,강남구,강남구 개포동 197 도,06-0000039601,일단(화살표없음),N,37.48848546,127.0695378,N,N,N,2026-03-20
74,서울특별시,강남구,강남구 개포동 197-1 도,06-0000008171,이단(화살표있음),N,37.4870801,127.0706666,Y,Y,N,2026-03-20
75,서울특별시,강남구,강남구 개포동 197-1 도,06-0000008170,일단(화살표없음),Y,37.48686758,127.0700083,Y,Y,N,2026-03-20
76,서울특별시,강남구,강남구 개포동 197-1 도,06-0000053283,일단(화살표없음),Y,37.48660134,127.069185,Y,Y,N,2026-03-20
77,서울특별시,강남구,강남구 개포동 197-1 도,06-0000053288,일단(화살표없음),Y,37.48693876,127.0702348,Y,Y,N,2026-03-20
78,서울특별시,강남구,강남구 개포동 197-1 도,06-0000008169,일단(화살표없음),N,37.4866233,127.068978,N,N,N,2026-03-20
79,서울특별시,강남구,강남구 개포동 197-1 도,06-0000008166,일단(화살표없음),Y,37.48645026,127.0686626,Y,Y,N,2026-03-20
80,서울특별시,강남구,강남구 개포동 197-1 도,06-0000007688,이단(화살표있음),N,37.48615474,127.0678511,Y,Y,N,2026-03-20
81,서울특별시,강남구,강남구 개포동 197-2 도,06-0000008175,이단(화살표있음),N,37.48682459,127.0718862,N,N,N,2026-03-20
82,서울특별시,강남구,강남구 개포동 197-2 도,06-0000008174,이단(화살표있음),N,37.48685043,127.0716244,N,N,N,2026-03-20
83,서울특별시,강남구,강남구 개포동 197-2 도,06-0000008173,일단(화살표없음),N,37.48713408,127.0709298,Y,Y,N,2026-03-20
84,서울특별시,강남구,강남구 개포동 197-2 도,06-0000008475,이단(화살표있음),N,37.48770503,127.073342,Y,Y,N,2026-03-20
85,서울특별시,강남구,강남구 개포동 197-2 도,06-0000008472,이단(화살표있음),N,37.48749052,127.0730564,Y,Y,N,2026-03-20
86,서울특별시,강남구,강남구 개포동 198 도,06-0000024095,일단(화살표없음),N,37.48806995,127.0667354,N,N,N,2026-03-20
87,서울특별시,강남구,강남구 개포동 198 도,06-0000047809,이단(화살표있음),N,37.48408795,127.0686584,Y,Y,N,2026-03-20
88,서울특별시,강남구,강남구 개포동 198 도,06-0000008176,이단(화살표있음),N,37.48441493,127.0684452,Y,Y,N,2026-03-20
89,서울특별시,강남구,강남구 개포동 198 도,06-0000048992,일단(화살표없음),N,37.48834991,127.0665935,N,N,N,2026-03-20
90,서울특별시,강남구,강남구 개포동 198 도,06-0000037416,일단(화살표없음),N,37.48420345,127.0683296,Y,Y,N,2026-03-20
91,서울특별시,강남구,강남구 개포동 198 도,06-0000019646,이단(화살표있음),N,37.48887176,127.0661507,Y,Y,N,2026-03-20
92,서울특별시,강남구,강남구 개포동 198 도,06-0000047812,대각선횡단보도,N,37.48605435,127.0675801,Y,Y,N,2026-03-20
93,서울특별시,강남구,강남구 개포동 198 도,06-0000015477,이단(화살표있음),N,37.48590519,127.0676578,Y,Y,N,2026-03-20
94,서울특별시,강남구,강남구 개포동 198 도,06-0000024096,일단(화살표없음),N,37.48686112,127.0669731,N,N,N,2026-03-20
95,서울특별시,강남구,강남구 개포동 198 도,06-0000007689,이단(화살표있음),N,37.48623384,127.0674844,Y,Y,N,2026-03-20
96,서울특별시,강남구,강남구 개포동 567-36 도,06-0000033670,일단(화살표없음),N,37.47898563,127.0649619,Y,Y,N,2026-03-20
97,서울특별시,강남구,강남구 개포동 647 도,06-0000008255,이단(화살표있음),N,37.48632603,127.0569624,Y,Y,N,2026-03-20
98,서울특별시,강남구,강남구 개포동 647 도,06-0000054078,일단(화살표없음),N,37.48021596,127.0633535,Y,Y,N,2026-03-20
99,서울특별시,강남구,강남구 개포동 647 도,06-0000007842,이단(화살표있음),N,37.48178593,127.061601,Y,Y,N,2026-03-20
100,서울특별시,강남구,강남구 개포동 647 도,06-0000054079,대각선횡단보도,N,37.48031463,127.0634693,Y,Y,N,2026-03-20
101,서울특별시,강남구,강남구 개포동 647 도,06-0000008148,이단(화살표없음),N,37.48345312,127.0596091,Y,Y,N,2026-03-20
102,서울특별시,강남구,강남구 개포동 647 도,06-0000008256,이단(화살표없음),N,37.48502402,127.057818,Y,Y,N,2026-03-20
103,서울특별시,강남구,강남구 개포동 647 도,06-0000007829,이단(화살표없음),N,37.48038419,127.0633613,Y,Y,N,2026-03-20
104,서울특별시,강남구,강남구 개포동 647 도,06-0000008147,이단(화살표있음),N,37.48463745,127.0581695,Y,Y,N,2026-03-20
105,서울특별시,강남구,강남구 개포동 647 도,06-0000007830,이단(화살표있음),N,37.48021904,127.0635478,Y,Y,N,2026-03-20
106,서울특별시,강남구,강남구 개포동 647 도,06-0000007846,이단(화살표있음),N,37.48207763,127.0612347,Y,Y,N,2026-03-20
107,서울특별시,강남구,강남구 개포동 647-1 도,06-0000054075,이단(화살표있음),N,37.48326245,127.0568146,Y,N,N,2026-03-20
108,서울특별시,강남구,강남구 개포동 647-1 도,06-0000007839,이단(화살표있음),N,37.48201509,127.0551223,Y,Y,N,2026-03-20
109,서울특별시,강남구,강남구 개포동 647-1 도,06-0000019509,이단(화살표있음),N,37.48460638,127.0579259,Y,Y,N,2026-03-20
110,서울특별시,강남구,강남구 개포동 647-1 도,06-0000008258,이단(화살표있음),N,37.48387637,127.057353,Y,Y,N,2026-03-20
111,서울특별시,강남구,강남구 개포동 647-1 도,06-0000007837,일단(화살표없음),N,37.48191366,127.0548123,N,N,N,2026-03-20
112,서울특별시,강남구,강남구 개포동 647-1 도,06-0000007836,이단(화살표있음),N,37.48119621,127.0540294,Y,Y,N,2026-03-20
113,서울특별시,강남구,강남구 개포동 647-10 도,06-0000037391,이단(화살표있음),N,37.4759326,127.0593373,Y,Y,N,2026-03-20
114,서울특별시,강남구,강남구 개포동 647-10 도,06-0000037388,이단(화살표있음),N,37.47556324,127.0586781,N,N,N,2026-03-20
115,서울특별시,강남구,강남구 개포동 647-10 도,06-0000037390,이단(화살표있음),N,37.47573983,127.0589698,Y,Y,N,2026-03-20
116,서울특별시,강남구,강남구 개포동 647-9 도,06-0000037387,이단(화살표있음),N,37.4757136,127.0585768,Y,Y,N,2026-03-20
117,서울특별시,강남구,강남구 개포동 651-2 도,06-0000008257,일단(화살표없음),N,37.48406642,127.0573569,N,N,N,2026-03-20
118,서울특별시,강남구,강남구 개포동 652-1 도,06-0000008254,일단(화살표없음),N,37.48419704,127.0571107,N,N,N,2026-03-20
119,서울특별시,강남구,강남구 개포동 652-1 도,06-0000008253,일단(화살표없음),N,37.48488882,127.0565373,N,N,N,2026-03-20
120,서울특별시,강남구,강남구 개포동 652-1 도,06-0000008252,일단(화살표없음),N,37.4850231,127.0564158,N,N,N,2026-03-20
121,서울특별시,강남구,강남구 개포동 652-2 도,06-0000008260,일단(화살표없음),N,37.48354443,127.0569592,N,N,N,2026-03-20
122,서울특별시,강남구,강남구 개포동 653-1 도,06-0000034609,일단(화살표없음),N,37.48237474,127.0554343,N,N,N,2026-03-20
123,서울특별시,강남구,강남구 개포동 659 도,06-0000007834,이단(화살표있음),N,37.48085887,127.0539237,Y,Y,N,2026-03-20
124,서울특별시,강남구,강남구 개포동 659 도,06-0000049985,이단(화살표있음),N,37.47869858,127.0560596,Y,Y,N,2026-03-20
125,서울특별시,강남구,강남구 개포동 659 도,06-0000007732,이단(화살표있음),N,37.4829657,127.052729,Y,Y,N,2026-03-20
126,서울특별시,강남구,강남구 개포동 659 도,06-0000007832,이단(화살표있음),N,37.48119515,127.0536698,Y,Y,N,2026-03-20
127,서울특별시,강남구,강남구 개포동 659 도,06-0000037409,이단(화살표있음),N,37.47624365,127.0586712,Y,Y,N,2026-03-20
128,서울특별시,강남구,강남구 개포동 659 도,06-0000008276,일단(화살표없음),N,37.47747363,127.0575783,N,N,N,2026-03-20
129,서울특별시,강남구,강남구 개포동 659 도,06-0000007734,일단(화살표없음),N,37.4832539,127.0527869,N,N,N,2026-03-20
130,서울특별시,강남구,강남구 개포동 660-1 대,06-0000054080,일단(화살표없음),N,37.48255552,127.0604916,N,N,N,2026-03-20
131,서울특별시,강남구,강남구 개포동 660-1 대,06-0000054077,일단(화살표없음),N,37.48276924,127.0602396,N,N,N,2026-03-20
132,서울특별시,강남구,강남구 개포동 660-11 도,06-0000054088,이단(화살표있음),Y,37.48118384,127.0603336,Y,Y,N,2026-03-20
133,서울특별시,강남구,강남구 개포동 660-11 도,06-0000008259,일단(화살표있음),Y,37.4833158,127.0570827,Y,Y,N,2026-03-20
134,서울특별시,강남구,강남구 개포동 660-12 대,06-0000054087,이단(화살표있음),Y,37.48132136,127.0603495,Y,Y,N,2026-03-20
135,서울특별시,강남구,강남구 개포동 660-12 대,06-0000055290,대각선횡단보도,N,37.48126054,127.0604434,Y,Y,N,2026-03-20
136,서울특별시,강남구,강남구 개포동 660-12 대,06-0000054089,일단(화살표없음),Y,37.48120565,127.0605291,Y,Y,N,2026-03-20
137,서울특별시,강남구,강남구 개포동 660-12 대,06-0000054073,이단(화살표있음),N,37.47873615,127.0564139,Y,Y,N,2026-03-20
138,서울특별시,강남구,강남구 개포동 660-12 대,06-0000054081,이단(화살표있음),-,37.47940177,127.057363,N,N,N,2026-03-20
139,서울특별시,강남구,강남구 개포동 660-12 대,06-0000054092,이단(화살표있음),N,37.48150003,127.060933,N,N,N,2026-03-20
140,서울특별시,강남구,강남구 개포동 660-12 대,06-0000054093,이단(화살표있음),N,37.48169879,127.0608093,N,N,N,2026-03-20
141,서울특별시,강남구,강남구 개포동 660-12 대,06-0000054076,이단(화살표있음),N,37.48186464,127.0612875,Y,Y,N,2026-03-20
142,서울특별시,강남구,강남구 개포동 660-12 대,06-0000054090,일단(화살표없음),Y,37.48133714,127.0605486,Y,Y,N,2026-03-20
143,서울특별시,강남구,강남구 개포동 660-3 대,06-0000007838,일단(화살표없음),Y,37.48184382,127.0551092,N,N,N,2026-03-20
144,서울특별시,강남구,강남구 개포동 660-4 대,06-0000054084,일단(화살표없음),Y,37.4797767,127.0579292,Y,Y,N,2026-03-20
145,서울특별시,강남구,강남구 개포동 660-4 대,06-0000054086,대각선횡단보도,Y,37.47970839,127.0579996,Y,Y,N,2026-03-20
146,서울특별시,강남구,강남구 개포동 660-4 대,06-0000054082,이단(화살표있음),Y,37.47963494,127.0578198,Y,Y,N,2026-03-20
147,서울특별시,강남구,강남구 개포동 660-4 대,06-0000054083,일단(화살표없음),Y,37.47963022,127.0580453,Y,Y,N,2026-03-20
148,서울특별시,강남구,강남구 개포동 660-4 대,06-0000054085,이단(화살표있음),Y,37.47979031,127.0581796,Y,Y,N,2026-03-20
149,서울특별시,강남구,강남구 논현동 112-13 도,06-0000008022,일단(화살표없음),N,37.51746958,127.0394568,N,N,N,2026-03-20
150,서울특별시,강남구,강남구 논현동 112-2 대,06-0000008018,일단(화살표없음),N,37.51725454,127.0387631,N,N,N,2026-03-20
151,서울특별시,강남구,강남구 논현동 112-20 도,06-0000031688,일단(화살표없음),N,37.51756255,127.0397968,N,N,N,2026-03-20
152,서울특별시,강남구,강남구 논현동 112-6 도,06-0000031687,일단(화살표없음),N,37.51735798,127.0391231,N,N,N,2026-03-20
153,서울특별시,강남구,강남구 논현동 114-10 도,06-0000008346,일단(화살표없음),N,37.51667945,127.0362715,N,N,N,2026-03-20
154,서울특별시,강남구,강남구 논현동 241-10 대,06-0000027057,일단(화살표없음),N,37.51627023,127.0407077,N,N,N,2026-03-20
155,서울특별시,강남구,강남구 논현동 248-7 대,06-0000008363,일단(화살표없음),N,37.51328007,127.0356242,N,N,N,2026-03-20
156,서울특별시,강남구,강남구 논현동 263-23 공,06-0000026914,일단(화살표없음),N,37.51121256,127.0388972,N,N,N,2026-03-20
157,서울특별시,강남구,강남구 논현동 279 도,06-0000032754,일단(화살표없음),N,37.51785784,127.0243029,N,N,N,2026-03-20
158,서울특별시,강남구,강남구 논현동 279 도,06-0000032759,일단(화살표없음),N,37.51872003,127.0263955,N,N,N,2026-03-20
159,서울특별시,강남구,강남구 논현동 279 도,06-0000033542,일단(화살표없음),N,37.52225174,127.036886,N,N,N,2026-03-20
160,서울특별시,강남구,강남구 논현동 279 도,06-0000008434,이단(화살표없음),N,37.52241368,127.0374292,N,N,N,2026-03-20
161,서울특별시,강남구,강남구 논현동 279 도,06-0000008521,이단(화살표있음),N,37.51955419,127.0279612,Y,Y,N,2026-03-20
162,서울특별시,강남구,강남구 논현동 279 도,06-0000008972,일단(화살표있음),N,37.52064019,127.0318596,N,N,N,2026-03-20
163,서울특별시,강남구,강남구 논현동 279 도,06-0000008976,일단(화살표없음),N,37.52023269,127.0305737,N,N,N,2026-03-20
164,서울특별시,강남구,강남구 논현동 279 도,06-0000009000,일단(화살표없음),N,37.51975991,127.0291199,N,N,N,2026-03-20
165,서울특별시,강남구,강남구 논현동 279 도,06-0000032748,일단(화살표없음),N,37.51636705,127.0207627,N,N,N,2026-03-20
166,서울특별시,강남구,강남구 논현동 279 도,06-0000032747,일단(화살표없음),N,37.51658134,127.0213133,N,N,N,2026-03-20
167,서울특별시,강남구,강남구 논현동 279 도,06-0000008979,이단(화살표있음),N,37.51938777,127.0282119,Y,Y,N,2026-03-20
168,서울특별시,강남구,강남구 논현동 279 도,06-0000032746,일단(화살표없음),N,37.51686672,127.0219941,N,N,N,2026-03-20
169,서울특별시,강남구,강남구 논현동 279 도,06-0000032745,일단(화살표없음),N,37.51731597,127.0230239,N,N,N,2026-03-20
170,서울특별시,강남구,강남구 논현동 279 도,06-0000032755,일단(화살표없음),N,37.51830784,127.0254042,N,N,N,2026-03-20
171,서울특별시,강남구,강남구 논현동 279 도,06-0000044902,이단(화살표있음),N,37.51616857,127.0197965,Y,Y,N,2026-03-20
172,서울특별시,강남구,강남구 논현동 279 도,06-0000044901,이단(화살표있음),N,37.51596655,127.0199157,N,N,N,2026-03-20
173,서울특별시,강남구,강남구 논현동 279 도,06-0000008424,이단(화살표없음),N,37.52120248,127.0337275,N,N,N,2026-03-20
174,서울특별시,강남구,강남구 논현동 279 도,06-0000008427,이단(화살표없음),N,37.52133542,127.034169,N,N,N,2026-03-20
175,서울특별시,강남구,강남구 논현동 279 도,06-0000008287,일단(화살표없음),N,37.52268055,127.0382937,N,N,N,2026-03-20
176,서울특별시,강남구,강남구 논현동 279 도,06-0000032749,일단(화살표없음),N,37.51705622,127.022402,N,N,N,2026-03-20
177,서울특별시,강남구,강남구 논현동 279 도,06-0000009307,이단(화살표있음),N,37.52305832,127.0388755,Y,Y,N,2026-03-20
178,서울특별시,강남구,강남구 논현동 279 도,06-0000008978,이단(화살표있음),N,37.51971177,127.0283264,Y,Y,N,2026-03-20
179,서울특별시,강남구,강남구 논현동 279 도,06-0000008425,이단(화살표있음),N,37.52129437,127.0339401,Y,Y,N,2026-03-20
180,서울특별시,강남구,강남구 논현동 279 도,06-0000008433,일단(화살표없음),N,37.52197703,127.0360554,N,N,N,2026-03-20
181,서울특별시,강남구,강남구 논현동 279-105 도,06-0000007655,일단(화살표없음),N,37.51348772,127.0318636,N,N,N,2026-03-20
182,서울특별시,강남구,강남구 논현동 279-105 도,06-0000007649,일단(화살표있음),N,37.51358035,127.0319075,N,N,N,2026-03-20
183,서울특별시,강남구,강남구 논현동 279-105 도,06-0000007650,이단(화살표있음),N,37.51352985,127.0319896,N,N,N,2026-03-20
184,서울특별시,강남구,강남구 논현동 279-107 도,06-0000008357,일단(화살표있음),N,37.51436522,127.0344436,N,N,N,2026-03-20
185,서울특별시,강남구,강남구 논현동 279-107 도,06-0000008356,일단(화살표있음),N,37.51398301,127.0334288,N,N,N,2026-03-20
186,서울특별시,강남구,강남구 논현동 279-107 도,06-0000008360,일단(화살표있음),N,37.51430012,127.034506,N,N,N,2026-03-20
187,서울특별시,강남구,강남구 논현동 279-107 도,06-0000008358,일단(화살표있음),N,37.51426046,127.0343589,N,N,N,2026-03-20
188,서울특별시,강남구,강남구 논현동 279-107 도,06-0000008355,일단(화살표있음),N,37.51393218,127.0332847,N,N,N,2026-03-20
189,서울특별시,강남구,강남구 논현동 279-107 도,06-0000008354,일단(화살표있음),N,37.51404492,127.0333266,N,N,N,2026-03-20
190,서울특별시,강남구,강남구 논현동 279-109 도,06-0000015508,일단(화살표없음),N,37.51464411,127.0356278,N,N,N,2026-03-20
191,서울특별시,강남구,강남구 논현동 279-11 도,06-0000008446,일단(화살표없음),N,37.52137274,127.0362775,N,N,N,2026-03-20
192,서울특별시,강남구,강남구 논현동 279-11 도,06-0000008444,일단(화살표없음),N,37.52141079,127.036406,N,N,N,2026-03-20
193,서울특별시,강남구,강남구 논현동 279-11 도,06-0000008445,일단(화살표없음),N,37.52134925,127.0363622,N,N,N,2026-03-20
194,서울특별시,강남구,강남구 논현동 279-11 도,06-0000051873,일단(화살표없음),N,37.52090285,127.0365673,N,N,N,2026-03-20
195,서울특별시,강남구,강남구 논현동 279-11 도,06-0000008443,일단(화살표없음),N,37.52143786,127.0363208,N,N,N,2026-03-20
196,서울특별시,강남구,강남구 논현동 279-110 도,06-0000040923,일단(화살표없음),N,37.51510336,127.0351761,N,N,N,2026-03-20
197,서울특별시,강남구,강남구 논현동 279-110 도,06-0000007607,일단(화살표없음),N,37.51184125,127.0360111,N,N,N,2026-03-20
198,서울특별시,강남구,강남구 논현동 279-110 도,06-0000007596,일단(화살표없음),N,37.50954852,127.0373182,N,N,N,2026-03-20
199,서울특별시,강남구,강남구 논현동 279-110 도,06-0000007602,이단(화살표있음),N,37.51053804,127.036658,Y,N,N,2026-03-20
