"동별(1)",동별(2),동별(3),2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006
"동별(1)",동별(2),동별(3),금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관
"동별(1)",동별(2),동별(3),소계,한국은행,시중은행,시중은행,시중은행,시중은행,시중은행,시중은행,시중은행,지방은행,특수은행,특수은행,특수은행,특수은행,기타,기타
"동별(1)",동별(2),동별(3),소계,소계,우리은행,SC제일은행,KB국민은행,한국외한은행,신한은행,한국씨티은행,KEB하나은행,소계,IBK기업은행,NH농협은행,수협은행,KDB산업은행,한국수출입은행,외국은행
"합계",영등포구,당산2동,8,-,1,-,2,1,1,-,2,-,1,-,-,-,-,-
"합계",영등포구,도림1동,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
"합계",영등포구,문래1동,5,-,2,-,-,-,-,-,2,-,1,-,-,-,-,-
"합계",영등포구,문래2동,3,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-
"합계",영등포구,양평1동,5,-,1,1,3,-,-,-,-,-,-,-,-,-,-,-
"합계",영등포구,양평2동,3,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-
"합계",영등포구,신길1동,10,-,2,2,3,-,1,-,-,-,1,1,-,-,-,-
"합계",영등포구,신길3동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",영등포구,신길4동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",영등포구,대림1동,9,-,2,-,2,-,3,-,1,-,1,-,-,-,-,-
"합계",영등포구,대림3동,2,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-
"합계",동작구,소계,67,-,14,5,12,2,16,1,9,-,3,4,1,-,-,-
"합계",동작구,노량진1동,9,-,2,1,1,-,2,-,1,-,1,-,1,-,-,-
"합계",동작구,상도1동,9,-,1,1,2,1,2,-,2,-,-,-,-,-,-,-
"합계",동작구,상도2동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",동작구,상도3동,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",동작구,상도4동,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"합계",동작구,상도5동,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",동작구,본동,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
"합계",동작구,흑석1동,7,-,4,-,1,-,1,-,1,-,-,-,-,-,-,-
"합계",동작구,흑석2동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",동작구,사당1동,16,-,1,2,4,-,5,-,2,-,1,1,-,-,-,-
"합계",동작구,대방동,7,-,2,-,2,-,3,-,-,-,-,-,-,-,-,-
"합계",동작구,신대방1동,11,-,2,1,1,-,2,1,1,-,1,2,-,-,-,-
"합계",동작구,신대방2동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",관악구,소계,60,-,13,5,15,2,9,1,4,-,5,4,2,-,-,-
"합계",관악구,봉천1동,21,-,1,4,7,-,6,-,-,-,2,1,-,-,-,-
"합계",관악구,봉천3동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",관악구,봉천4동,2,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-
"합계",관악구,봉천6동,4,-,2,-,-,1,-,-,-,-,-,-,1,-,-,-
"합계",관악구,봉천7동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",관악구,봉천8동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",관악구,봉천11동,3,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-
"합계",관악구,남현동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",관악구,신림본동,2,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-
"합계",관악구,신림1동,14,-,1,1,6,-,2,-,-,-,3,1,-,-,-,-
"합계",관악구,신림2동,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",관악구,신림3동,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",관악구,신림5동,3,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-
"합계",관악구,신림9동,3,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-
"합계",관악구,신림12동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",서초구,소계,210,-,32,17,33,18,42,15,29,2,10,8,3,1,-,-
"합계",서초구,서초1동,79,-,15,7,13,5,15,4,10,1,5,2,1,1,-,-
"합계",서초구,서초2동,6,-,-,-,-,1,1,-,2,1,-,-,1,-,-,-
"합계",서초구,서초3동,3,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-
"합계",서초구,서초4동,3,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-
"합계",서초구,잠원동,18,-,3,1,4,2,4,1,3,-,-,-,-,-,-,-
"합계",서초구,반포본동,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",서초구,반포1동,30,-,4,3,6,2,7,1,4,-,2,1,-,-,-,-
"합계",서초구,반포4동,4,-,1,-,-,-,-,1,2,-,-,-,-,-,-,-
"합계",서초구,방배1동,33,-,3,4,9,1,4,4,4,-,2,2,-,-,-,-
"합계",서초구,방배2동,3,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-
"합계",서초구,방배3동,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
"합계",서초구,양재1동,27,-,5,1,1,4,8,2,1,-,1,3,1,-,-,-
"합계",서초구,양재2동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",강남구,소계,386,1,56,28,66,24,79,29,42,6,18,27,5,3,1,1
"합계",강남구,신사동,40,-,7,2,8,3,8,2,5,-,2,2,-,1,-,-
"합계",강남구,논현1동,49,-,6,6,9,3,9,2,8,-,3,3,-,-,-,-
"합계",강남구,논현2동,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
"합계",강남구,압구정1동,7,-,1,1,2,-,1,2,-,-,-,-,-,-,-,-
"합계",강남구,청담1동,18,-,3,1,4,-,2,2,3,-,1,2,-,-,-,-
"합계",강남구,삼성1동,54,-,9,4,6,5,10,4,8,-,3,3,1,1,-,-
"합계",강남구,대치1동,59,-,6,1,11,4,16,6,5,1,3,5,-,-,-,1
"합계",강남구,대치3동,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
"합계",강남구,대치4동,3,-,-,2,-,-,-,-,-,-,-,-,1,-,-,-
"합계",강남구,역삼1동,95,1,11,8,16,4,23,8,5,4,4,8,3,-,-,-
"합계",강남구,역삼2동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",강남구,도곡1동,28,-,6,2,4,-,7,1,2,1,2,2,-,1,-,-
"합계",강남구,도곡2동,2,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-
"합계",강남구,개포1동,10,-,3,1,2,1,1,-,2,-,-,-,-,-,-,-
"합계",강남구,개포3동,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
"합계",강남구,개포4동,2,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
"합계",강남구,일원본동,3,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-
"합계",강남구,일원1동,7,-,2,-,1,-,2,-,1,-,-,1,-,-,-,-
"합계",강남구,수서동,3,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-
"합계",송파구,소계,145,-,28,13,25,9,25,5,20,-,7,7,5,1,-,-
"합계",송파구,풍납1동,4,-,1,-,-,-,1,-,1,-,1,-,-,-,-,-
"합계",송파구,풍납2동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",송파구,거여1동,2,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",송파구,거여2동,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"합계",송파구,마천1동,4,-,-,1,2,-,1,-,-,-,-,-,-,-,-,-
"합계",송파구,방이1동,14,-,3,1,2,2,2,1,2,-,1,-,-,-,-,-
"합계",송파구,오륜동,2,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-
"합계",송파구,오금동,6,-,-,-,1,-,1,-,2,-,1,-,1,-,-,-
"합계",송파구,송파1동,11,-,2,2,3,1,1,-,-,-,1,1,-,-,-,-
"합계",송파구,송파2동,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
"합계",송파구,석촌동,10,-,3,-,1,-,2,1,2,-,-,-,1,-,-,-
"합계",송파구,삼전동,7,-,1,-,3,-,1,1,-,-,1,-,-,-,-,-
"합계",송파구,가락본동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",송파구,가락1동,23,-,4,3,4,-,3,1,2,-,1,4,1,-,-,-
"합계",송파구,가락2동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",송파구,문정1동,10,-,1,2,2,1,3,-,1,-,-,-,-,-,-,-
"합계",송파구,문정2동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",송파구,잠실본동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",송파구,잠실1동,23,-,6,2,5,1,5,-,2,-,1,1,-,-,-,-
"합계",송파구,잠실4동,19,-,5,2,2,1,5,-,2,-,-,-,1,1,-,-
"합계",송파구,잠실7동,2,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",강동구,소계,75,-,12,6,16,3,13,3,11,-,4,5,2,-,-,-
"합계",강동구,상일동,2,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-
"합계",강동구,명일1동,14,-,3,1,3,-,3,1,2,-,-,1,-,-,-,-
"합계",강동구,명일2동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",강동구,고덕1동,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",강동구,암사1동,9,-,2,-,2,-,1,-,1,-,1,1,1,-,-,-
"합계",강동구,천호1동,13,-,-,2,2,-,4,1,2,-,1,1,-,-,-,-
"합계",강동구,성내1동,15,-,2,2,4,1,1,1,2,-,1,1,-,-,-,-
"합계",강동구,성내2동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",강동구,성내3동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",강동구,길1동,11,-,2,-,3,-,2,-,1,-,1,1,1,-,-,-
"합계",강동구,둔촌1동,7,-,2,1,1,-,1,-,2,-,-,-,-,-,-,-
