name,bank,branch,gu,addr,lat,lng
IBK기업은행 강서중앙,IBK기업은행,강서중앙,강서구,서울특별시 강서구 등촌동 공항대로 411,37.556277,126.853477
IBK기업은행 개봉동,IBK기업은행,개봉동,구로구,서울특별시 구로구 개봉동 개봉로 60,37.491112,126.856284
IBK기업은행 고척동,IBK기업은행,고척동,구로구,서울특별시 구로구 고척동 경인로 397,37.4975,126.864018
IBK기업은행 공덕동,IBK기업은행,공덕동,마포구,서울특별시 마포구 공덕동 마포대로 163,37.549123,126.954019
IBK기업은행 공릉동,IBK기업은행,공릉동,노원구,서울특별시 노원구 공릉동 공릉로 147,37.623156,127.079058
IBK기업은행 공릉역,IBK기업은행,공릉역,노원구,서울특별시 노원구 공릉동 동일로 1073,37.625774,127.07258
IBK기업은행 교대역,IBK기업은행,교대역,서초구,서울특별시 서초구 서초동 서초대로 275,37.493407,127.011655
IBK기업은행 구로동,IBK기업은행,구로동,구로구,서울특별시 구로구 구로동 디지털로32길 55,37.483987,126.898338
IBK기업은행 구로동기업금융센터,IBK기업은행,구로동기업금융센터,구로구,서울특별시 구로구 구로동 디지털로32길 55,37.483987,126.898338
IBK기업은행 구로디지털,IBK기업은행,구로디지털,구로구,서울특별시 구로구 구로동 디지털로31길 19,37.484876,126.893767
IBK기업은행 구로디지털중앙,IBK기업은행,구로디지털중앙,구로구,서울특별시 구로구 구로동 디지털로 242,37.480813,126.892678
IBK기업은행 구로사랑,IBK기업은행,구로사랑,구로구,서울특별시 구로구 구로동 구로중앙로 60,37.495132,126.88941
IBK기업은행 구로삼성IT,IBK기업은행,구로삼성IT,구로구,서울특별시 구로구 구로동 디지털로33길 27,37.486057,126.894669
IBK기업은행 구로유통단지,IBK기업은행,구로유통단지,구로구,서울특별시 구로구 구로동 경인로53길 8,37.501765,126.877252
IBK기업은행 구로중앙,IBK기업은행,구로중앙,구로구,서울특별시 구로구 구로동 구로중앙로 215,37.505,126.877148
IBK기업은행 구의동,IBK기업은행,구의동,광진구,서울특별시 광진구 구의동 아차산로 456,37.539109,127.093036
IBK기업은행 군자역,IBK기업은행,군자역,광진구,서울특별시 광진구 중곡동 천호대로 579,37.556375,127.082581
IBK기업은행 길동,IBK기업은행,길동,강동구,서울특별시 강동구 길동 천호대로 1139,37.534596,127.138117
IBK기업은행 남구로,IBK기업은행,남구로,구로구,서울특별시 구로구 구로동 구로동로 126-2,37.489931,126.88457
IBK기업은행 남대문,IBK기업은행,남대문,중구,서울특별시 중구 남대문로5가 세종대로 17,37.558629,126.973267
IBK기업은행 남대문시장,IBK기업은행,남대문시장,중구,서울특별시 중구 남대문로4가 남대문로 12,37.560562,126.977216
IBK기업은행 노량진,IBK기업은행,노량진,동작구,서울특별시 동작구 노량진동 장승배기로 128,37.508922,126.940291
IBK기업은행 노원역,IBK기업은행,노원역,노원구,서울특별시 노원구 상계2동 노해로 489,37.654944,127.062192
IBK기업은행 논현역,IBK기업은행,논현역,강남구,서울특별시 강남구 논현동 학동로 110,37.511362,127.023051
IBK기업은행 답십리,IBK기업은행,답십리,동대문구,서울특별시 동대문구 답십리동 천호대로 233,37.57039,127.048755
IBK기업은행 당산동,IBK기업은행,당산동,영등포구,서울특별시 영등포구 영등포동8가 영신로 220,37.526818,126.904235
IBK기업은행 대림동,IBK기업은행,대림동,영등포구,서울특별시 영등포구 대림동 대림로 195,37.498087,126.898213
IBK기업은행 대치역,IBK기업은행,대치역,강남구,서울특별시 강남구 대치동 남부순환로 2936,37.493349,127.061917
IBK기업은행 대학로,IBK기업은행,대학로,종로구,서울특별시 종로구 동숭동 동숭길 101,37.582462,127.00402
IBK기업은행 도곡팰리스,IBK기업은행,도곡팰리스,강남구,서울특별시 강남구 도곡동 언주로 122,37.487083,127.051017
IBK기업은행 독립문개인스마트,IBK기업은행,독립문개인스마트,종로구,서울특별시 종로구 무악동 통일로 246-10,37.574353,126.959096
IBK기업은행 독산역,IBK기업은행,독산역,금천구,서울특별시 금천구 가산동 가산디지털1로 2,37.466834,126.887999
IBK기업은행 독산중앙,IBK기업은행,독산중앙,금천구,서울특별시 금천구 독산동 가산로 78,37.473348,126.895572
IBK기업은행 독산하이테크,IBK기업은행,독산하이테크,금천구,서울특별시 금천구 독산동 두산로 70,37.468963,126.895621
IBK기업은행 돈암동,IBK기업은행,돈암동,성북구,서울특별시 성북구 동소문동 6가 아리랑로 3,37.593024,127.016175
IBK기업은행 동대문,IBK기업은행,동대문,종로구,서울특별시 종로구 종로4가 종로 189,37.57108,126.998775
IBK기업은행 동부이촌동WM센터,IBK기업은행,동부이촌동WM센터,용산구,서울특별시 용산구 이촌동 이촌로 182,37.52123,126.967375
IBK기업은행 동여의도,IBK기업은행,동여의도,영등포구,서울특별시 영등포구 여의도동 국제금융로 52,37.522726,126.929505
IBK기업은행 둔촌동개인스마트,IBK기업은행,둔촌동개인스마트,강동구,서울특별시 강동구 성내동 양재대로 1317,37.523993,127.13436
IBK기업은행 등촌역,IBK기업은행,등촌역,양천구,서울특별시 양천구 목동 공항대로 556,37.549314,126.867152
IBK기업은행 뚝섬역,IBK기업은행,뚝섬역,성동구,서울특별시 성동구 성수동1가 성수일로 55,37.545467,127.049567
IBK기업은행 마곡발산역,IBK기업은행,마곡발산역,강서구,서울특별시 강서구 마곡동 공항대로 261,37.559154,126.836521
IBK기업은행 마곡신방화역,IBK기업은행,마곡신방화역,강서구,서울특별시 강서구 마곡동 방화대로 294,37.566996,126.817052
IBK기업은행 마들역,IBK기업은행,마들역,노원구,서울특별시 노원구 상계동 동일로 1527,37.664792,127.057388
IBK기업은행 마장동,IBK기업은행,마장동,성동구,서울특별시 성동구 마장동 마장로 309,37.566848,127.043581
IBK기업은행 마포,IBK기업은행,마포,마포구,서울특별시 마포구 공덕동 마포대로 114,37.544808,126.952028
IBK기업은행 마포중앙,IBK기업은행,마포중앙,마포구,서울특별시 마포구 도화동 마포대로 53,37.541432,126.947054
IBK기업은행 면목동,IBK기업은행,면목동,중랑구,서울특별시 중랑구 면목동 겸재로 154,37.587557,127.084861
IBK기업은행 명동역,IBK기업은행,명동역,중구,서울특별시 중구 충무로1가 퇴계로 109,37.560951,126.983863
IBK기업은행 목동WM센터,IBK기업은행,목동WM센터,양천구,서울특별시 양천구 목동 목동동로 401,37.536376,126.881126
IBK기업은행 목동사거리,IBK기업은행,목동사거리,강서구,서울특별시 강서구 화곡동 등촌로 29,37.532552,126.863412
IBK기업은행 목동쉐르빌,IBK기업은행,목동쉐르빌,양천구,서울특별시 양천구 신정동 목동동로 189,37.522616,126.870875
IBK기업은행 목동신트리,IBK기업은행,목동신트리,양천구,서울특별시 양천구 신정동 중앙로 181,37.512819,126.855685
IBK기업은행 무교,IBK기업은행,무교,중구,서울특별시 중구 무교동 무교로 20,37.567633,126.979565
IBK기업은행 무역센터,IBK기업은행,무역센터,강남구,서울특별시 강남구 삼성동 테헤란로 501,37.507381,127.056821
IBK기업은행 문래동,IBK기업은행,문래동,영등포구,서울특별시 영등포구 문래동3가 도림로128길 2,37.5141,126.896217
IBK기업은행 문래중앙,IBK기업은행,문래중앙,영등포구,서울특별시 영등포구 문래동6가 선유로 49,37.518295,126.888742
IBK기업은행 문래하이테크,IBK기업은행,문래하이테크,영등포구,서울특별시 영등포구 문래동3가 경인로 775,37.514762,126.897536
IBK기업은행 문정법조타운,IBK기업은행,문정법조타운,송파구,서울특별시 송파구 문정동 법원로11길 7,37.485354,127.119226
IBK기업은행 반포,IBK기업은행,반포,서초구,서울특별시 서초구 반포동 반포대로 291,37.504931,126.999505
IBK기업은행 반포자이WM센터,IBK기업은행,반포자이WM센터,서초구,서울특별시 서초구 반포동 잠원로 24,37.507095,127.009894
IBK기업은행 방배동,IBK기업은행,방배동,서초구,서울특별시 서초구 방배동 효령로34길 4,37.481364,126.998918
IBK기업은행 방배중앙,IBK기업은행,방배중앙,서초구,서울특별시 서초구 방배동 방배로 226,37.493313,126.990353
IBK기업은행 방이역,IBK기업은행,방이역,송파구,서울특별시 송파구 오금동 마천로5길 4,37.50872,127.126734
IBK기업은행 방학동,IBK기업은행,방학동,도봉구,서울특별시 도봉구 방학동 도봉로 683,37.665491,127.041935
IBK기업은행 보라매,IBK기업은행,보라매,동작구,서울특별시 동작구 신대방동 보라매로5가길 24,37.49065,126.924222
IBK기업은행 본부대기업금융센터,IBK기업은행,본부대기업금융센터,중구,서울특별시 중구 을지로2가 을지로 79,37.565705,126.987084
IBK기업은행 북가좌동,IBK기업은행,북가좌동,서대문구,서울특별시 서대문구 북가좌동 응암로 107,37.582426,126.912911
IBK기업은행 불광역,IBK기업은행,불광역,은평구,서울특별시 은평구 대조동 통일로 725,37.610234,126.929734
IBK기업은행 사당역,IBK기업은행,사당역,동작구,서울특별시 동작구 사당1동 동작대로 27,37.478923,126.981246
IBK기업은행 삼성동,IBK기업은행,삼성동,강남구,서울특별시 강남구 논현동 봉은사로 303,37.509489,127.040154
IBK기업은행 삼성역,IBK기업은행,삼성역,강남구,서울특별시 강남구 삼성동 테헤란로 625,37.510151,127.066053
IBK기업은행 삼양동,IBK기업은행,삼양동,강북구,서울특별시 강북구 미아동 솔샘로 253,37.619792,127.020755
IBK기업은행 상계역,IBK기업은행,상계역,노원구,서울특별시 노원구 중계동 덕릉로 688,37.658959,127.075591
IBK기업은행 상암동,IBK기업은행,상암동,마포구,서울특별시 마포구 상암동 성암로 189,37.576742,126.897898
IBK기업은행 서교동,IBK기업은행,서교동,마포구,서울특별시 마포구 망원동 월드컵로 59,37.554378,126.911269
IBK기업은행 서소문,IBK기업은행,서소문,중구,서울특별시 중구 서소문동 서소문로 120,37.562868,126.974678
IBK기업은행 서여의도,IBK기업은행,서여의도,영등포구,서울특별시 영등포구 여의도동 은행로 30,37.528195,126.922662
IBK기업은행 서울대역,IBK기업은행,서울대역,관악구,서울특별시 관악구 봉천동 남부순환로 1794,37.481314,126.949348
IBK기업은행 서초3동,IBK기업은행,서초3동,서초구,서울특별시 서초구 서초동 효령로 210,37.483022,127.007128
IBK기업은행 서초남,IBK기업은행,서초남,서초구,서울특별시 서초구 서초동 서초중앙로 63,37.487327,127.014465
IBK기업은행 서초동,IBK기업은행,서초동,서초구,서울특별시 서초구 반포동 사평대로 369,37.504425,127.023332
IBK기업은행 서초중앙,IBK기업은행,서초중앙,서초구,서울특별시 서초구 서초동 효령로 321,37.486131,127.01917
IBK기업은행 석수역,IBK기업은행,석수역,금천구,서울특별시 금천구 시흥동 시흥대로 46,37.437776,126.903782
IBK기업은행 석촌고분역,IBK기업은행,석촌고분역,송파구,서울특별시 송파구 석촌동 삼학사로 48,37.501391,127.097211
IBK기업은행 선릉역,IBK기업은행,선릉역,강남구,서울특별시 강남구 역삼동 테헤란로 328,37.503713,127.047674
IBK기업은행 선유도역,IBK기업은행,선유도역,영등포구,서울특별시 영등포구 양평동5가 양평로25길 8,37.538988,126.890877
IBK기업은행 성수2가,IBK기업은행,성수2가,성동구,서울특별시 성동구 성수동2가 동일로 81,37.54015,127.062608
IBK기업은행 성수동,IBK기업은행,성수동,성동구,서울특별시 성동구 성수동2가 연무장7길 16,37.543944,127.0551
IBK기업은행 성수화양,IBK기업은행,성수화양,성동구,서울특별시 성동구 성수동2가 아차산로17길 48,37.546394,127.065889
IBK기업은행 성수희망,IBK기업은행,성수희망,성동구,서울특별시 성동구 성수동2가 아차산로 153,37.543433,127.06101
IBK기업은행 송파,IBK기업은행,송파,송파구,서울특별시 송파구 송파동 송파대로 422,37.505003,127.107985
IBK기업은행 수색,IBK기업은행,수색,은평구,서울특별시 은평구 수색동 수색로 256,37.582261,126.89627
IBK기업은행 수유사거리,IBK기업은행,수유사거리,강북구,서울특별시 강북구 수유동 덕릉로 82,37.634426,127.022843
IBK기업은행 순천향대학교 서울병원(출),IBK기업은행,순천향대학교 서울병원(출),용산구,서울특별시 용산구 한남동 대사관로 59,37.534281,127.003878
IBK기업은행 시흥동,IBK기업은행,시흥동,금천구,서울특별시 금천구 시흥동 시흥대로 236,37.455023,126.901
IBK기업은행 시흥유통센터,IBK기업은행,시흥유통센터,금천구,서울특별시 금천구 시흥동 시흥대로 97,37.444682,126.901072
IBK기업은행 신길동,IBK기업은행,신길동,영등포구,서울특별시 영등포구 신길동 도신로60길 1,37.511677,126.917264
IBK기업은행 신당역,IBK기업은행,신당역,중구,서울특별시 중구 황학동 퇴계로 439,37.565968,127.020462
IBK기업은행 신대방역,IBK기업은행,신대방역,관악구,서울특별시 관악구 신림동 조원로 128,37.485106,126.916645
IBK기업은행 신림동,IBK기업은행,신림동,관악구,서울특별시 관악구 신림동 남부순환로 1440,37.480848,126.910739
IBK기업은행 신사동,IBK기업은행,신사동,강남구,서울특별시 강남구 신사동 도산대로 139,37.518175,127.02371
IBK기업은행 신설동,IBK기업은행,신설동,동대문구,서울특별시 동대문구 신설동 왕산로 6,37.575725,127.024461
IBK기업은행 신수동,IBK기업은행,신수동,마포구,서울특별시 마포구 창전동 서강로 105,37.552478,126.932821
IBK기업은행 신정동,IBK기업은행,신정동,양천구,서울특별시 양천구 신정동 신월로 291,37.521473,126.853371
IBK기업은행 신촌,IBK기업은행,신촌,서대문구,서울특별시 서대문구 창천동 신촌로 67,37.556503,126.934042
IBK기업은행 아현역,IBK기업은행,아현역,서대문구,서울특별시 서대문구 북아현동 북아현로 22,37.559406,126.956818
IBK기업은행 안암동,IBK기업은행,안암동,성북구,서울특별시 성북구 안암동5가 안암로 119,37.58616,127.032315
IBK기업은행 압구정동,IBK기업은행,압구정동,강남구,서울특별시 강남구 신사동 논현로 868,37.526103,127.028887
IBK기업은행 약수동,IBK기업은행,약수동,중구,서울특별시 중구 신당동 다산로 112,37.553786,127.010378
IBK기업은행 양재동,IBK기업은행,양재동,서초구,서울특별시 서초구 양재동 마방로10길 25,37.476423,127.044125
IBK기업은행 양재역,IBK기업은행,양재역,서초구,서울특별시 서초구 양재동 강남대로 216,37.483472,127.035717
IBK기업은행 양평동,IBK기업은행,양평동,영등포구,서울특별시 영등포구 양평동3가 선유로 146,37.526902,126.891845
IBK기업은행 언주로,IBK기업은행,언주로,강남구,서울특별시 강남구 신사동 도산대로 307,37.522276,127.0349
IBK기업은행 언주역,IBK기업은행,언주역,강남구,서울특별시 강남구 논현동 봉은사로 179,37.507461,127.033402
IBK기업은행 여의도,IBK기업은행,여의도,영등포구,서울특별시 영등포구 여의도동 여의나루로 81,37.524321,126.927732
IBK기업은행 여의도IFC,IBK기업은행,여의도IFC,영등포구,서울특별시 영등포구 여의도동 국제금융로 10,37.525178,126.924876
IBK기업은행 여의도중앙,IBK기업은행,여의도중앙,영등포구,서울특별시 영등포구 여의도동 여의나루로 61,37.523224,126.926015
IBK기업은행 역삼WM센터,IBK기업은행,역삼WM센터,강남구,서울특별시 강남구 역삼동 강남대로 390,37.49784,127.028579
IBK기업은행 역삼남,IBK기업은행,역삼남,강남구,서울특별시 강남구 도곡동 도곡로 182,37.491561,127.039299
IBK기업은행 역삼역,IBK기업은행,역삼역,강남구,서울특별시 강남구 역삼동 논현로 418,37.497639,127.038798
IBK기업은행 역삼중앙,IBK기업은행,역삼중앙,강남구,서울특별시 강남구 역삼동 역삼로 114,37.49321,127.031654
IBK기업은행 연희동,IBK기업은행,연희동,서대문구,서울특별시 서대문구 연희동 연희로 141,37.570236,126.93331
IBK기업은행 염창동,IBK기업은행,염창동,강서구,서울특별시 강서구 등촌동 양천로 588,37.556152,126.863735
IBK기업은행 영등포,IBK기업은행,영등포,영등포구,서울특별시 영등포구 영등포동4가 영중로 13,37.517562,126.905715
IBK기업은행 영업부,IBK기업은행,영업부,중구,서울특별시 중구 을지로2가 을지로 79,37.566494,126.986565
IBK기업은행 오류동,IBK기업은행,오류동,구로구,서울특별시 구로구 오류동 경인로 187,37.495612,126.841791
IBK기업은행 오목교역,IBK기업은행,오목교역,양천구,서울특별시 양천구 목동 오목로 325,37.525107,126.873626
IBK기업은행 온수역,IBK기업은행,온수역,구로구,서울특별시 구로구 온수동 부일로 869,37.492943,126.823634
IBK기업은행 용산,IBK기업은행,용산,용산구,서울특별시 용산구 남영동 한강대로 264-1,37.541965,126.973299
IBK기업은행 용산전자,IBK기업은행,용산전자,용산구,서울특별시 용산구 한강로2가 청파로20길 34,37.532616,126.966114
IBK기업은행 용산중앙,IBK기업은행,용산중앙,용산구,서울특별시 용산구 이태원동 녹사평대로 240,37.538899,126.987564
IBK기업은행 우장산역개인스마트,IBK기업은행,우장산역개인스마트,강서구,서울특별시 강서구 화곡동 강서로 242,37.547385,126.836763
IBK기업은행 워커힐,IBK기업은행,워커힐,광진구,서울특별시 광진구 광장동 아차산로 635,37.549449,127.107201
IBK기업은행 원효로,IBK기업은행,원효로,용산구,서울특별시 용산구 원효로3가 원효로 142,37.534082,126.9591
IBK기업은행 을지6가,IBK기업은행,을지6가,중구,서울특별시 중구 을지로6가 장충단로 263,37.570919,127.00732
IBK기업은행 을지로,IBK기업은행,을지로,중구,서울특별시 중구 인현동2가 마른내로 72,37.563546,126.995814
IBK기업은행 응암동,IBK기업은행,응암동,은평구,서울특별시 은평구 응암동 은평로 210,37.601022,126.931123
IBK기업은행 이동점포(U-IBK3호),IBK기업은행,이동점포(U-IBK3호),중구,서울특별시 중구 을지로2가 을지로 79,37.566494,126.986565
IBK기업은행 이수역,IBK기업은행,이수역,서초구,서울특별시 서초구 방배동 동작대로 134,37.488608,126.98278
IBK기업은행 이태원,IBK기업은행,이태원,용산구,서울특별시 용산구 이태원동 이태원로27나길 40,37.534942,126.996923
IBK기업은행 인사동,IBK기업은행,인사동,종로구,서울특별시 종로구 인사동 인사동5길 25,37.572097,126.985393
IBK기업은행 잠실,IBK기업은행,잠실,송파구,서울특별시 송파구 방이동 오금로 91,37.514051,127.107654
IBK기업은행 잠실엘스,IBK기업은행,잠실엘스,송파구,서울특별시 송파구 잠실동 올림픽로 119,37.512085,127.084186
IBK기업은행 장안동,IBK기업은행,장안동,동대문구,서울특별시 동대문구 장안동 답십리로 276,37.57217,127.070805
IBK기업은행 장위동,IBK기업은행,장위동,성북구,서울특별시 성북구 장위동 화랑로 237,37.610558,127.05569
IBK기업은행 장한평역,IBK기업은행,장한평역,성동구,서울특별시 성동구 용답동 자동차시장1길 73,37.560796,127.06565
IBK기업은행 종로,IBK기업은행,종로,종로구,서울특별시 종로구 종로2가 종로 104,37.569964,126.989112
IBK기업은행 종로6가,IBK기업은행,종로6가,종로구,서울특별시 종로구 종로6가 종로 266,37.570919,127.00732
IBK기업은행 종암동,IBK기업은행,종암동,성북구,서울특별시 성북구 종암동 종암로 108,37.599824,127.034481
IBK기업은행 중계동WM센터,IBK기업은행,중계동WM센터,노원구,서울특별시 노원구 중계동 중계로 206,37.650843,127.077523
IBK기업은행 중화동,IBK기업은행,중화동,중랑구,서울특별시 중랑구 묵동 동일로 847,37.605951,127.078321
IBK기업은행 천호동,IBK기업은행,천호동,강동구,서울특별시 강동구 천호동 천호대로 1033,37.537895,127.126958
IBK기업은행 청계5가,IBK기업은행,청계5가,중구,서울특별시 중구 주교동 청계천로 206-1,37.569069,127.000575
IBK기업은행 청계7가,IBK기업은행,청계7가,중구,서울특별시 중구 황학동 청계천로 400,37.57153,127.02177
IBK기업은행 청계8가,IBK기업은행,청계8가,동대문구,서울특별시 동대문구 용두동 청계천로 471,37.570405,127.029656
IBK기업은행 청담동,IBK기업은행,청담동,강남구,서울특별시 강남구 청담동 도산대로 446,37.523593,127.045065
IBK기업은행 청량리역,IBK기업은행,청량리역,동대문구,서울특별시 동대문구 청량리동 홍릉로 1,37.580453,127.044369
IBK기업은행 테헤란로,IBK기업은행,테헤란로,강남구,서울특별시 강남구 역삼동 테헤란로 132,37.499319,127.033214
IBK기업은행 테헤란로중앙,IBK기업은행,테헤란로중앙,강남구,서울특별시 강남구 대치동 테헤란로 416,37.504996,127.051907
IBK기업은행 퇴계로,IBK기업은행,퇴계로,중구,서울특별시 중구 충무로4가 퇴계로 235,37.562527,126.99781
IBK기업은행 학동역,IBK기업은행,학동역,강남구,서울특별시 강남구 논현동 학동로 177,37.514179,127.030285
IBK기업은행 한국기술센터(출),IBK기업은행,한국기술센터(출),강남구,서울특별시 강남구 역삼동 테헤란로 305,37.503341,127.043783
IBK기업은행 한남동WM센터,IBK기업은행,한남동WM센터,용산구,서울특별시 용산구 한남동 한남대로 72,37.535066,127.007056
IBK기업은행 한성대학교(출),IBK기업은행,한성대학교(출),성북구,서울특별시 성북구 삼선동2가 삼선교로16길 116,37.583152,127.011065
IBK기업은행 한티역,IBK기업은행,한티역,강남구,서울특별시 강남구 대치동 선릉로 332,37.499433,127.051713
IBK기업은행 홍대역,IBK기업은행,홍대역,마포구,서울특별시 마포구 동교동 양화로 148,37.555613,126.922656
IBK기업은행 회기역(출),IBK기업은행,회기역(출),동대문구,서울특별시 동대문구 휘경동 망우로 46,37.588765,127.058791
KB국민은행 KB GOLD&WISE the FIRST 도곡 센터,KB국민은행,KB GOLD&WISE the FIRST 도곡 센터,강남구,서울특별시 강남구 도곡2동 언주로30길39,37.488746,127.053214
KB국민은행 KB GOLD&WISE the FIRST 반포 센터,KB국민은행,KB GOLD&WISE the FIRST 반포 센터,서초구,서울특별시 서초구 반포동 반포대로291,37.504931,126.999505
KB국민은행 KB GOLD&WISE the FIRST 압구정 센터,KB국민은행,KB GOLD&WISE the FIRST 압구정 센터,강남구,서울특별시 강남구 신사동 언주로849,37.526219,127.032966
KB국민은행 KCC(점),KB국민은행,KCC(점),서초구,서울특별시 서초구 서초동 사평대로344,37.502995,127.020803
KB국민은행 KT광화문(점),KB국민은행,KT광화문(점),종로구,서울특별시 종로구 청진동 종로3길33,37.572007,126.978849
KB국민은행 가락동,KB국민은행,가락동,송파구,서울특별시 송파구 가락동 송파대로274,37.494027,127.118082
KB국민은행 가산IT,KB국민은행,가산IT,금천구,서울특별시 금천구 가산동 가산디지털2로98,37.476295,126.881025
KB국민은행 가산디지털,KB국민은행,가산디지털,금천구,서울특별시 금천구 가산동 벚꽃로286,37.480402,126.884128
KB국민은행 가산라이온스밸리,KB국민은행,가산라이온스밸리,금천구,서울특별시 금천구 가산동 가산디지털1로168,37.47999,126.882595
KB국민은행 가산벤처,KB국민은행,가산벤처,금천구,서울특별시 금천구 가산동 가산디지털1로16,37.46761,126.888086
KB국민은행 가산테크노타운,KB국민은행,가산테크노타운,금천구,서울특별시 금천구 가산1동 가마산로96,37.485259,126.877464
KB국민은행 가양역,KB국민은행,가양역,강서구,서울특별시 강서구 등촌동 화곡로68길3,37.559584,126.854737
KB국민은행 강남구청역,KB국민은행,강남구청역,강남구,서울특별시 강남구 논현동 학동로343,37.517442,127.040612
KB국민은행 강남대로,KB국민은행,강남대로,서초구,서울특별시 서초구 서초동 서초대로411,37.498107,127.025923
KB국민은행 강남스타PB센터,KB국민은행,강남스타PB센터,강남구,서울특별시 강남구 역삼1동 테헤란로152,37.500024,127.036509
KB국민은행 강남역,KB국민은행,강남역,강남구,서울특별시 강남구 역삼동 테헤란로127,37.4997,127.032045
KB국민은행 강남중앙,KB국민은행,강남중앙,강남구,서울특별시 강남구 역삼동 강남대로402,37.498777,127.027831
KB국민은행 강남타운,KB국민은행,강남타운,강남구,서울특별시 강남구 역삼동 강남대로388,37.497449,127.028423
KB국민은행 강남파이낸스,KB국민은행,강남파이낸스,강남구,서울특별시 강남구 역삼동 테헤란로152,37.500024,127.036509
KB국민은행 강동구청역,KB국민은행,강동구청역,강동구,서울특별시 강동구 성내동 성내로12,37.530148,127.121861
KB국민은행 강북,KB국민은행,강북,강북구,서울특별시 강북구 수유동 도봉로391,37.641955,127.029288
KB국민은행 강북삼성병원(점),KB국민은행,강북삼성병원(점),종로구,서울특별시 종로구 평동 새문안로29,37.568128,126.968592
KB국민은행 강서(점),KB국민은행,강서(점),강서구,서울특별시 강서구 화곡동 화곡로340,37.553905,126.851632
KB국민은행 개봉남,KB국민은행,개봉남,구로구,서울특별시 구로구 개봉동 개봉로10,37.48662,126.856714
