"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","약국영업면적","지정일자"
"3160000","PHMD120083160034084001602","2008-10-31","          ","03","폐업","03","폐업","2009-02-17","          ","          ","","","","152-801   ","서울특별시 구로구 가리봉동 137번지 5호 1층","서울특별시 구로구 남부순환로 1291 (가리봉동,1층)","     ","소망약국","2009-02-17 13:33:15","I","2026-03-26 22:33:33","","190588.908625988    ","441873.504088439    ","28","2008-10-31"
"3160000","PHMD120093160034084000001","2009-01-02","          ","03","폐업","03","폐업","2013-09-17","          ","          ","","02-839-9087","","152-055   ","서울특별시 구로구 구로동 1263번지 롯데(아)상가 107호","서울특별시 구로구 새말로 31 (구로동,롯데(아)상가 107호)","     ","수도약국","2013-09-17 16:00:47","I","2026-03-26 22:33:33","","189691.896536436    ","444593.579268254    ","21","2009-01-02"
"3160000","PHMD120093160034084000002","2009-02-12","          ","03","폐업","03","폐업","2009-06-15","          ","          ","","","","152-080   ","서울특별시 구로구 고척동 46번지 39호","서울특별시 구로구 경인로47길 126 (고척동)","     ","신세기약국","2009-06-15 10:39:28","I","2026-03-26 22:33:33","","187866.563172552    ","444676.503235758    ","65","2009-02-12"
"3160000","PHMD120093160034084000003","2009-02-13","          ","03","폐업","03","폐업","2010-06-21","          ","          ","","02-554-0098","","152-100   ","서울특별시 구로구 오류동 10번지 1호","","     ","명성약국","2010-06-21 17:08:24","I","2026-03-26 22:33:33","","185986.133598256    ","443725.340023989    ","36","2009-02-13"
"3160000","PHMD120093160034084000004","2009-02-18","          ","03","폐업","03","폐업","2009-06-19","          ","          ","","","","152-801   ","서울특별시 구로구 가리봉동 137번지 5호 1층 A동 영진오피스 1층","서울특별시 구로구 남부순환로 1291 (가리봉동,1층 A동 영진오피스 1층)","     ","소망약국","2009-06-19 13:07:16","I","2026-03-26 22:33:33","","190588.908625988    ","441873.504088439    ","28","2009-02-18"
"3230000","PHMD119983230034084000008","1998-07-04","          ","03","폐업","03","폐업","          ","          ","          ","","","","          ","서울특별시 송파구 마천동 138번지15","","     ","동해물약국(폐)","2008-12-11 18:04:08","I","2026-03-26 22:36:01","","                    ","                    ","0","1998-07-04"
"3160000","PHMD120093160034084000005","2009-03-31","          ","03","폐업","03","폐업","2010-07-20","          ","          ","","26888575","","152-100   ","서울특별시 구로구 오류동 338번지 동부골든아파트상가 116호","서울특별시 구로구 고척로 49, 116호 (오류동,동부골든아파트상가)","     ","청솔약국","2010-07-20 10:00:12","I","2026-03-26 22:33:33","","185740.522727208    ","444132.478465896    ","36","2009-03-31"
"3090000","PHMD120083090033084000008","2008-04-01","          ","03","폐업","03","폐업","2008-12-02","          ","          ","","02-3493-3370","","132-854   ","서울특별시 도봉구도봉로 678(방학1동 707-7) 홈에버 B1층","","     ","메디팜해사랑약국","2009-01-22 15:59:58","I","2026-03-26 22:34:20","","                    ","                    ","0","2008-04-01"
"3090000","PHMD120083090033084000009","2008-04-14","          ","03","폐업","03","폐업","2010-04-09","          ","          ","","02-997-4684","","132-784   ","서울특별시 도봉구 창2동 대우아파트 상가동 203호","","     ","대우상록수약국","2010-04-09 09:40:49","I","2026-03-26 22:34:20","","                    ","                    ","0","2008-04-14"
"3160000","PHMD120093160034084000008","2009-05-28","          ","03","폐업","03","폐업","2012-01-02","          ","          ","","","","152-872   ","서울특별시 구로구 구로4동 736번지 3호","서울특별시 구로구 구로동로20길 6 (구로동)","     ","씨엠피샘물약국","2012-01-02 18:10:08","I","2026-03-26 22:33:33","","189743.176187601    ","442962.130352395    ","26","2009-05-28"
"3160000","PHMD120093160034084000015","2009-07-01","          ","03","폐업","03","폐업","2014-05-29","          ","          ","","","","152-767   ","서울특별시 구로구 구로동 256번지 1호 삼성래미안아파트 상가동104호","서울특별시 구로구 디지털로31길 90 (구로동)","     ","래미안나나약국","2014-05-29 15:25:02","I","2026-03-26 22:33:33","","190369.746285354    ","442842.969131683    ","19","2009-07-01"
"3160000","PHMD120093160034084000017","2009-08-17","          ","03","폐업","03","폐업","2010-05-31","          ","          ","","20603132","","152-826   ","서울특별시 구로구 고척1동 72번지 7호 문화골든타워 2층 정성약국","서울특별시 구로구 경인로 373 (고척동,문화골든타워 2층 정성약국)","     ","정성약국","2010-05-31 10:04:11","I","2026-03-26 22:33:33","","187720.895550121    ","443864.959342112    ","29","2009-08-17"
"3160000","PHMD120093160034084000018","2009-08-31","          ","03","폐업","03","폐업","2012-11-01","          ","          ","","","","152-854   ","서울특별시 구로구 구로2동 413번지 34호","서울특별시 구로구 구로동로 153 (구로동)","     ","고려약국","2012-11-01 09:30:56","I","2026-03-26 22:33:33","","189613.867890458    ","443356.035765976    ","103","2009-08-31"
"3160000","PHMD120093160034084000020","2009-09-18","          ","03","폐업","03","폐업","2013-09-16","          ","          ","","","","152-763   ","서울특별시 구로구 구로1동 구일우성아파트 201 114,115","","     ","구일예주약국","2013-09-17 13:06:25","I","2026-03-26 22:33:34","","                    ","                    ","22","2009-09-18"
"3160000","PHMD120093160034084000021","2009-09-23","          ","03","폐업","03","폐업","2009-11-09","          ","          ","","","","152-880   ","서울특별시 구로구 구로3동 1132번지 57호","서울특별시 구로구 남부순환로 1309 (구로동)","     ","한신약국","2009-11-09 11:55:27","I","2026-03-26 22:33:34","","190749.564508102    ","441850.871441715    ","30","2009-09-23"
"3160000","PHMD120093160034084000024","2009-10-09","          ","03","폐업","03","폐업","2019-10-04","          ","          ","","26163008","","          ","서울특별시 구로구 궁동 170번지 11호","서울특별시 구로구 오리로 1286 (궁동)","08255","조은약국","2019-10-04 13:29:03","I","2026-03-26 22:33:34","","184899.100690496    ","443799.713956476    ","36","2009-10-09"
"3160000","PHMD120093160034084000025","2009-10-29","          ","03","폐업","03","폐업","2011-11-21","          ","          ","","02-830-3375","","152-871   ","서울특별시 구로구 구로2동 730번지 76호","서울특별시 구로구 구로동로28길 2 (구로동)","     ","백두산약국","2011-11-21 21:19:56","I","2026-03-26 22:33:34","","189698.200253411    ","443171.051890472    ","45","2009-10-29"
"3160000","PHMD120093160034084000026","2009-11-02","          ","03","폐업","03","폐업","2017-10-30","          ","          ","","","","          ","서울특별시 구로구 구로동 100번지 8호 신안타워 101호","서울특별시 구로구 구로중앙로 68 (구로동, 신안타워)","08301","정수메디칼약국","2017-10-30 11:22:36","I","2026-03-26 22:33:34","","190099.217394597    ","443743.18319767     ","102","2009-11-02"
"3160000","PHMD120093160034084000027","2009-11-06","          ","03","폐업","03","폐업","2011-10-11","          ","          ","","","","152-801   ","서울특별시 구로구 가리봉동 137번지 5호 영진오피스 1층","서울특별시 구로구 남부순환로 1291 (가리봉동,영진오피스 1층)","     ","소망약국","2011-10-11 14:47:02","I","2026-03-26 22:33:34","","190588.908625988    ","441873.504088439    ","28","2009-11-06"
"3160000","PHMD120093160034084000028","2009-11-11","          ","03","폐업","03","폐업","2012-04-10","          ","          ","","","","152-846   ","서울특별시 구로구 구로4동 138번지 15호","서울특별시 구로구 구로중앙로 16 (구로동)","     ","두산약국","2012-04-10 13:02:04","I","2026-03-26 22:33:34","","190385.915343076    ","443298.621758604    ","50","2009-11-11"
"3160000","PHMD120093160034084000029","2009-11-30","          ","03","폐업","03","폐업","2010-03-10","          ","          ","","02-865-1030","","152-863   ","서울특별시 구로구 구로5동 585번지 3호","서울특별시 구로구 구로중앙로 174 (구로동)","     ","조아약국","2010-03-10 11:36:33","I","2026-03-26 22:33:34","","189510.002757676    ","444491.926132115    ","14","2009-11-30"
"3090000","PHMD120083090033084000010","2008-04-30","          ","03","폐업","03","폐업","2019-04-30","          ","          ","","","","132-853   ","서울특별시 도봉구 방학1동 703번지 14호 2층","서울특별시 도봉구 도봉로 683, 2층 (방학동)","01340","꿈동산약국","2019-04-30 10:10:02","I","2026-03-26 22:34:20","","203651.208011649    ","462576.540812657    ","69","2008-04-30"
"3090000","PHMD120083090033084000011","2008-08-05","          ","03","폐업","03","폐업","2009-12-31","          ","          ","","02-832-8932","","132-847   ","서울특별시 도봉구도당길 133(방학1동 657-12)","","     ","성가온누리약국","2009-12-31 09:37:52","I","2026-03-26 22:34:20","","                    ","                    ","37","2008-08-05"
"3090000","PHMD120083090033084000012","2008-09-29","          ","03","폐업","03","폐업","2013-06-28","          ","          ","","","","132-917   ","서울특별시 도봉구 창3동 568번지 6호","서울특별시 도봉구 덕릉로 254 (창동)","     ","해맑은 미소약국","2013-06-28 11:26:54","I","2026-03-26 22:34:20","","203435.55337415     ","459749.87358816     ","24","2008-09-29"
"3090000","PHMD120083090033084000013","2008-11-26","          ","03","폐업","03","폐업","2010-09-01","          ","          ","","","","132-030   ","서울특별시 도봉구 쌍문동 41번지 1호","","     ","샘물약국","2010-09-01 17:33:55","I","2026-03-26 22:34:20","","203315.565646295    ","461759.625062348    ","18","2008-11-26"
"3090000","PHMD120083090033084000015","2008-11-19","          ","03","폐업","03","폐업","2009-08-31","          ","          ","","","","132-040   ","서울특별시 도봉구 창동 663번지 36호 2층","","     ","한솔한약국","2009-08-31 14:40:29","I","2026-03-26 22:34:20","","203124.01556273     ","460752.825141688    ","50","2008-11-19"
"3000000","PHMD120063000034084000012","2006-08-17","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-762-6060","","110-450   ","서울특별시 종로구 원남동 118번지 1호 2층","서울특별시 종로구 창경궁로 158, 2층 (원남동)","03081","대서울약국","2022-08-10 16:56:44","I","2026-03-11 01:27:35","","199716.33793479     ","452685.639262724    ","150","2006-08-17"
"3000000","PHMD120073000034084000002","2004-06-21","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-766-9438","","          ","서울특별시 종로구 명륜동2가 71-2  1층","서울특별시 종로구 성균관로 32-2 (명륜2가)","03074","지영오행당약국","2024-12-04 17:32:32","I","2026-03-11 01:27:35","","199672.623000243    ","453693.048895616    ","14","2004-06-21"
"3180000","PHMD119763180034084000015","1976-08-05","          ","03","폐업","03","폐업","2008-02-01","          ","          ","","02-781-2679","","          ","서울특별시 영등포구 여의도동   18-0","","     ","KBS구내약국","2011-11-21 11:57:48","I","2026-03-26 22:36:04","","                    ","                    ","0","1976-08-05"
"3000000","PHMD120073000034084000007","2006-12-22","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-744-2434","","          ","서울특별시 종로구 창신동 143-18","서울특별시 종로구 종로51나길 2 (창신동)","03105","대경약국","2025-02-10 14:29:07","I","2026-03-11 01:27:35","","201016.051671529    ","452256.135288263    ","41","2006-12-22"
"3070000","PHMD120033070034084000004","2003-04-01","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-980-9802","","136-809   ","서울특별시 성북구 길음동 1141번지 지하1층  B01호","서울특별시 성북구 삼양로 66, B01호 (길음동, 동부크리닉)","02726","현대약국","2021-12-08 14:33:27","I","2026-03-26 22:34:54","","201984.745001288    ","456296.325619597    ","38","2003-04-01"
"3070000","PHMD120033070034084000005","2003-04-11","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-915-5777","","136-802   ","서울특별시 성북구 길음동 530번지 17호 1층","서울특별시 성북구 길음로 2, 1층 (길음동)","02725","길음메디칼약국","2021-12-08 13:51:54","I","2026-03-26 22:34:54","","202109.511601167    ","455781.088375702    ","53","2003-04-11"
"3190000","PHMD119973190033084000018","1997-11-01","          ","03","폐업","03","폐업","2018-07-10","          ","          ","","02-813-1551","","156-804   ","서울특별시 동작구 노량진동 272번지 4호","서울특별시 동작구 노량진로6길 26 (노량진동)","06931","화생약국","2018-07-20 13:03:44","I","2026-03-26 22:34:12","","194234.644744889    ","445526.362798953    ","49","1997-11-01"
"3070000","PHMD120033070034084000006","2003-05-06","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-764-4835","","136-023   ","서울특별시 성북구 성북동1가 42번지 2호","서울특별시 성북구 성북로5길 2 (성북동1가)","02880","준약국","2021-12-09 11:28:10","I","2026-03-26 22:34:54","","200353.171552615    ","454105.589943469    ","11","2003-05-06"
"3070000","PHMD120033070034084000010","2003-07-18","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-912-2302","","136-775   ","서울특별시 성북구 정릉동 239번지 풍림아이원아파트상가  202동 211호","서울특별시 성북구 솔샘로25길 20, 211호 (정릉동, 풍림아파트상가)","02702","해오름약국","2021-12-09 11:14:29","I","2026-03-26 22:34:54","","200575.420521471    ","457360.617372111    ","30","2003-07-18"
"3190000","PHMD119973190033084000021","1997-12-12","          ","03","폐업","03","폐업","2009-02-03","          ","          ","","02-813-1448","","156-859   ","서울특별시 동작구 흑석동 54-149","","     ","새시장약국","2009-02-03 16:05:46","I","2026-03-26 22:34:12","","                    ","                    ","49","1997-12-12"
"3070000","PHMD120033070034084000013","2003-10-02","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-909-0508","","136-130   ","서울특별시 성북구 하월곡동 70번지 305호","서울특별시 성북구 오패산로 49, 3층 (하월곡동)","02738","메디칼팜약국","2021-12-08 10:36:30","I","2026-03-26 22:34:54","","203148.807469176    ","456008.527497947    ","21","2003-10-02"
"3070000","PHMD120043070034084000008","2004-07-31","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-941-0509","","136-781   ","서울특별시 성북구 종암동 104번지 1호 종암SK아파트상가  210호","서울특별시 성북구 종암로24가길 53, 210호 (종암동, 종암SK아파트상가 )","02798","정약국","2021-12-10 09:28:21","I","2026-03-26 22:34:55","","203196.800963466    ","455429.846270094    ","54","2004-07-31"
"3070000","PHMD120043070034084000009","2004-10-11","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-911-0488","","136-877   ","서울특별시 성북구 정릉동 403번지 8호","서울특별시 성북구 보국문로 46 (정릉동)","02717","그약국","2021-12-08 14:29:56","I","2026-03-26 22:34:55","","200826.253553579    ","456241.569391454    ","43","2004-10-11"
"3070000","PHMD120053070034084000002","2005-02-01","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-942-2712","","          ","서울특별시 성북구 정릉동 397번지 13호","서울특별시 성북구 보국문로 53 (정릉동)","02709","멜론약국","2021-12-10 10:20:43","I","2026-03-26 22:34:55","","200769.906176623    ","456326.63875438     ","31","2005-02-01"
"3070000","PHMD120053070034084000003","2005-03-03","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-942-4553","","136-834   ","서울특별시 성북구 장위동 219번지 132호","서울특별시 성북구 돌곶이로41길 10 (장위동)","02754","선약국","2021-12-09 16:29:59","I","2026-03-26 22:34:55","","203966.127766819    ","457346.65044866     ","41","2005-03-03"
"3200000","PHMD119793200033084000005","1979-06-20","          ","03","폐업","03","폐업","2021-12-28","          ","          ","","02-878-2530","","151-057   ","서울특별시 관악구 낙성대동 1598-1","서울특별시 관악구 관악로 154 (봉천동)","08788","신다정약국","2021-12-28 14:43:57","I","2026-03-26 22:34:55","","195741.164752348    ","441862.053352551    ","27","1979-06-20"
"3080000","PHMD119733080033084000001","1973-08-08","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-902-8373","","          ","서울특별시 강북구 수유동 435-18","서울특별시 강북구 인수봉로55길 13 (수유동)","01024","새현대약국","2020-08-28 14:53:12","I","2026-03-26 22:33:55","","200999.180024983    ","459366.046559827    ","23","1973-08-08"
"3200000","PHMD119793200033084000007","1979-07-11","          ","03","폐업","03","폐업","2013-04-02","          ","          ","","02-855-2421","","151-014   ","서울특별시 관악구 신사동 493-18","서울특별시 관악구 관천로15길 99 (신림동)","     ","최기홍약국","2013-04-02 16:14:08","I","2026-03-26 22:34:55","","192599.167542972    ","442632.186426833    ","21","1979-07-11"
"3200000","PHMD120033200033084000012","2003-05-20","          ","03","폐업","03","폐업","          ","          ","          ","","02-839-0009","","151-014   ","서울특별시 관악구 신사동 527-9","","     ","중앙프라자약국","2008-12-15 09:18:31","I","2026-03-26 22:35:16","","                    ","                    ","0","2003-05-20"
"3170000","PHMD120003170035084000004","2000-10-27","          ","03","폐업","03","폐업","2011-07-01","          ","          ","","","","153-818   ","독산3동 876-2,1층2호","","     ","옵티마약국","2011-07-01 11:26:48","I","2026-04-01 22:01:32","","                    ","                    ","33","2000-10-27"
"3240000","PHMD120213240033084000022","2021-12-30","          ","03","폐업","03","폐업","2026-04-02","          ","          ","","02-478-9710","","          ","서울특별시 강동구 천호동 432-7 아스하임","서울특별시 강동구 올림픽로 663, 아스하임 102호 (천호동)","05248","새봄약국","2026-04-02 17:37:14","U","2026-04-03 03:03:03","","210876.75889205     ","448729.741021421    ","19","2021-12-30"
"3010000","PHMD120103010033084000007","2010-07-19","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-2235-1876","","          ","서울특별시 중구 황학동 2523번지 황학 아크로타워 B동 318호","서울특별시 중구 퇴계로 447, B동 318호 (황학동, 황학 아크로타워)","04575","타워약국","2020-03-27 11:06:11","I","2025-12-15 16:15:28","","201866.039519433    ","451543.337800303    ","64","2010-07-19"
"3010000","PHMD120103010033084000015","2010-12-17","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-2277-8808","","100-391   ","서울특별시 중구 장충동1가 26번지 16호","서울특별시 중구 장충단로 201, 1층 (장충동1가)","04615","미소약국","2015-07-09 17:56:14","I","2025-12-15 16:15:28","","200503.947755103    ","451166.363770873    ","22","2010-12-17"
"3010000","PHMD120103010033084000016","2010-12-21","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-2233-5912","","          ","서울특별시 중구 신당동 374번지 25호 1층","서울특별시 중구 다산로 133-1, 1층 (신당동)","04607","다산온누리약국","2020-03-27 10:59:00","I","2025-12-15 16:15:28","","200900.433106685    ","450402.207924201    ","83","2010-12-21"
"3010000","PHMD120113010033084000002","2011-01-04","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-2235-0502","","100-830   ","서울특별시 중구 신당동 366번지 106호","서울특별시 중구 다산로 82 (신당동)","04597","허브약국","2025-09-19 14:52:36","I","2025-12-15 16:15:28","","200673.135501745    ","449927.503073754    ","22","2011-01-04"
"3080000","PHMD119743080033084000002","1974-07-19","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-902-2844","","142-870   ","서울특별시 강북구 인수동 372번지 2호","서울특별시 강북구 삼양로 429 (수유동)","01034","대명약국","2020-08-28 14:36:15","I","2026-03-26 22:33:55","","201387.767512209    ","459937.871801407    ","20","1974-07-19"
"3080000","PHMD119753080033084000004","1975-12-18","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-902-4097","","142-077   ","서울특별시 강북구 인수동 436번지 1호","서울특별시 강북구 인수봉로 192 (수유동)","01092","백십자약국","2021-06-30 16:03:26","I","2026-03-26 22:33:56","","201089.491299623    ","459369.64475504     ","28","1975-12-18"
"3080000","PHMD119763080033084000002","1976-05-26","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-989-1449","","142-110   ","서울특별시 강북구 삼양동 791번지 940호","서울특별시 강북구 삼양로 255 (미아동)","01110","청구약국","2020-08-28 16:08:58","I","2026-03-26 22:33:56","","201520.114917605    ","458199.684362302    ","56","1976-05-26"
"3080000","PHMD119773080033084000001","1977-01-11","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-903-1313","","          ","서울특별시 강북구 수유동 2-8","서울특별시 강북구 수유로 83 (수유동)","01080","수유동약국","2024-12-12 16:16:53","I","2026-03-26 22:33:56","","201939.982032535    ","459334.591614424    ","23","1977-01-11"
"3080000","PHMD119773080033084000003","1977-06-25","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-981-5581","","142-824   ","서울특별시 강북구 미아동 791번지 2486호","서울특별시 강북구 솔매로 38 (미아동)","01180","승약국","2020-08-28 15:16:25","I","2026-03-26 22:33:56","","201378.412270044    ","458119.513529265    ","18","1977-06-25"
"3080000","PHMD119793080033084000001","1979-03-06","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-988-8020","","          ","서울특별시 강북구 수유동 70-4 서영프라자","서울특별시 강북구 삼양로 293, 서영프라자 (수유동)","01103","삼천약국","2024-11-21 13:27:09","I","2026-03-26 22:33:56","","201493.548940074    ","458597.485196888    ","25","1979-03-06"
"3200000","PHMD119803200033084000003","1980-06-20","          ","03","폐업","03","폐업","2022-10-19","          ","          ","","02-878-0188","","151-060   ","서울특별시 관악구 중앙동 56-98","서울특별시 관악구 중앙길 5 (봉천동)","08745","차약국","2022-10-19 10:29:11","I","2026-03-26 22:34:55","","195846.027027355    ","442383.123036986    ","18","1980-06-20"
"3200000","PHMD119803200033084000004","1980-07-05","          ","03","폐업","03","폐업","2008-11-17","          ","          ","","02-856-2609","","          ","서울특별시 관악구 신림동 527번지 2호","서울특별시 관악구 난곡로 316 (신림동, 진성타워)","08761","세화약국","2015-12-07 16:06:38","I","2026-03-26 22:34:55","","192388.67312062     ","442226.617933306    ","21","1980-07-05"
"3200000","PHMD119803200033084000005","1980-07-10","          ","03","폐업","03","폐업","2013-05-27","          ","          ","","02-869-7373","","151-022   ","서울특별시 관악구 미성동 750-38","서울특별시 관악구 난곡로43길 25 (신림동)","     ","건민약국","2013-05-27 15:32:06","I","2026-03-26 22:34:55","","192371.448169277    ","441503.571192902    ","18","1980-07-10"
"3080000","PHMD119813080033084000001","1981-04-21","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-902-6438","","          ","서울특별시 강북구 수유동 269-22","서울특별시 강북구 한천로 1148 (수유동)","01046","진약국","2024-11-21 13:25:59","I","2026-03-26 22:33:57","","201490.227342487    ","460491.364647461    ","21","1981-04-21"
"3080000","PHMD119813080033084000002","1981-05-28","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-902-5119","","          ","서울특별시 강북구 수유동 36-18 진영빌딩","서울특별시 강북구 삼각산로 132, 진영빌딩 (수유동)","01075","어약국","2024-11-21 13:24:51","I","2026-03-26 22:33:57","","201612.827079567    ","459827.02930018     ","46","1981-05-28"
"3010000","PHMD120113010033084000010","2011-03-28","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-778-7188","","          ","서울특별시 중구 을지로2가 199-4 한국전력공사","서울특별시 중구 남대문로 92, 한국전력공사 2층 (을지로2가)","04534","새열린약국","2020-09-04 15:09:35","I","2025-12-15 16:15:28","","198453.646026812    ","451437.923635005    ","20","2011-03-28"
"3010000","PHMD120113010033084000014","2011-05-12","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-2277-6399","","100-014   ","서울특별시 중구 충무로4가 125번지 3호 301-1호","서울특별시 중구 퇴계로 213, 301-1호 (충무로4가)","04557","건강약국","2025-03-17 16:42:49","I","2025-12-15 16:15:28","","199532.084458879    ","451067.194729829    ","38","2011-05-12"
"3010000","PHMD120113010033084000022","2011-10-31","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-753-2129","","          ","서울특별시 중구 충무로1가 52번지 41호 회현지하상가 화-2호","서울특별시 중구 소공로 지하 58, 화-2호 (충무로1가)","04535","메디홈약국","2020-03-16 14:26:42","I","2025-12-15 16:15:28","","198294.579463422    ","450952.394190021    ","14","2011-10-31"
"3180000","PHMD119763180034084000017","1976-08-30","          ","03","폐업","03","폐업","2016-09-29","          ","          ","","02-843-4031","","          ","서울특별시 영등포구 신길동   219-2","서울특별시 영등포구 도신로 191-1 (신길동)","07313","1.2.3약국","2016-09-30 09:07:24","I","2026-03-26 22:36:04","","192191.430287879    ","445464.469001419    ","0","1976-08-30"
"3000000","PHMD120073000034084000015","2002-05-01","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-2285-5702","","          ","서울특별시 종로구 종로4가 149-1","서울특별시 종로구 종로 192 (종로4가)","03195","동아약국","2018-10-30 10:18:21","I","2026-03-11 01:27:36","","199848.545951919    ","452035.159657949    ","74","2002-05-01"
